DateTime,Predicted_Vehicles
2025-10-21 16:00:00,50.21016016602516
2025-10-21 17:00:00,50.638599157333374
2025-10-21 18:00:00,53.820868134498596
2025-10-21 19:00:00,53.122428238391876
2025-10-21 20:00:00,48.168864130973816
2025-10-21 21:00:00,46.641600996255875
2025-10-21 22:00:00,44.647305592894554
2025-10-21 23:00:00,38.859258219599724
2025-10-22 00:00:00,33.530174508690834
2025-10-22 01:00:00,32.85064849257469
2025-10-22 02:00:00,32.70724868774414
2025-10-22 03:00:00,31.362045317888256
2025-10-22 04:00:00,32.72994481027126
2025-10-22 05:00:00,33.583149909973145
2025-10-22 06:00:00,34.198196426033974
2025-10-22 07:00:00,34.85744023323059
2025-10-22 08:00:00,35.48784510791302
2025-10-22 09:00:00,35.680683463811874
2025-10-22 10:00:00,36.58791221678257
2025-10-22 11:00:00,37.806074380874634
2025-10-22 12:00:00,38.43430006504059
2025-10-22 13:00:00,39.52296710014343
2025-10-22 14:00:00,41.354487374424934
2025-10-22 15:00:00,42.84496833384037
